id,dbms,method,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
57,postgres,delete,0,1,100000,0,1196.0,867470b,83.61,11.96,2022-12-03 22:46:23
58,postgres,insert,0,10,100000,0,120.85,867470b,827.47,12.09,2022-12-03 22:48:24
59,postgres,update,0,10,100000,0,121.74,867470b,821.42,12.17,2022-12-03 22:50:26
60,postgres,delete,0,10,100000,0,119.89,867470b,834.1,11.99,2022-12-03 22:52:26
61,postgres,insert,0,50,100000,0,24.75,867470b,4040.4,12.38,2022-12-03 22:52:51
62,postgres,update,0,50,100000,0,28.16,867470b,3551.14,14.08,2022-12-03 22:53:19
63,postgres,delete,0,50,100000,0,25.13,867470b,3979.31,12.57,2022-12-03 22:53:44
64,postgres,insert,0,100,100000,0,13.17,867470b,7593.01,13.17,2022-12-03 22:53:58
65,postgres,update,0,100,100000,0,25.22,867470b,3965.11,25.22,2022-12-03 22:54:23
66,postgres,delete,0,100,100000,0,21.17,867470b,4723.67,21.17,2022-12-03 22:54:44
67,postgres,insert,0,500,100000,0,10.93,867470b,9149.13,54.65,2022-12-03 22:54:55
68,postgres,update,0,500,100000,0,25.39,867470b,3938.56,126.95,2022-12-03 22:55:21
69,postgres,delete,0,500,100000,0,21.47,867470b,4657.66,107.35,2022-12-03 22:55:42
70,postgres,insert,0,1000,100000,0,11.44,867470b,8741.26,114.4,2022-12-03 22:55:54
71,postgres,update,0,1000,100000,0,25.31,867470b,3951.01,253.1,2022-12-03 22:56:19
72,postgres,delete,0,1000,100000,0,21.05,867470b,4750.59,210.5,2022-12-03 22:56:40
73,mysql,insert,1,1,100000,0,12662.37,867470b,7.9,126.62,2022-12-04 02:27:46
74,mysql,update,1,1,100000,0,11818.2,867470b,8.46,118.18,2022-12-04 05:44:44
75,mysql,delete,1,1,100000,0,12044.6,867470b,8.3,120.45,2022-12-04 09:05:29
76,mysql,insert,1,10,100000,0,1196.75,867470b,83.56,119.68,2022-12-04 09:25:28
77,mysql,update,1,10,100000,0,1248.5,867470b,80.1,124.85,2022-12-04 09:46:16
78,mysql,delete,1,10,100000,0,1269.8,867470b,78.75,126.98,2022-12-04 10:07:26
79,mysql,insert,1,50,100000,0,282.17,867470b,354.4,141.09,2022-12-04 10:12:11
80,mysql,update,1,50,100000,0,289.04,867470b,345.97,144.52,2022-12-04 10:17:00
81,mysql,delete,1,50,100000,0,315.41,867470b,317.05,157.71,2022-12-04 10:22:15
82,mysql,insert,1,100,100000,0,162.47,867470b,615.5,162.47,2022-12-04 10:25:01
83,mysql,update,1,100,100000,0,172.32,867470b,580.32,172.32,2022-12-04 10:27:53
84,mysql,delete,1,100,100000,0,202.16,867470b,494.66,202.16,2022-12-04 10:31:15
85,mysql,insert,1,500,100000,0,59.4,867470b,1683.5,297.0,2022-12-04 10:32:18
86,mysql,update,1,500,100000,0,53.12,867470b,1882.53,265.6,2022-12-04 10:33:11
87,mysql,delete,1,500,100000,0,88.62,867470b,1128.41,443.1,2022-12-04 10:34:40
88,mysql,insert,1,1000,100000,0,49.1,867470b,2036.66,491.0,2022-12-04 10:35:32
89,mysql,update,1,1000,100000,0,48.78,867470b,2050.02,487.8,2022-12-04 10:36:21
90,mysql,delete,1,1000,100000,0,79.56,867470b,1256.91,795.6,2022-12-04 10:37:41
91,mysql,insert,0,1,100000,0,12064.43,867470b,8.29,120.64,2022-12-04 13:58:48
92,mysql,update,0,1,100000,0,12993.11,867470b,7.7,129.93,2022-12-04 17:35:21
93,mysql,delete,0,1,100000,0,12741.19,867470b,7.85,127.41,2022-12-04 21:07:43
94,mysql,insert,0,10,100000,0,1261.47,867470b,79.27,126.15,2022-12-04 21:28:47
95,mysql,update,0,10,100000,0,1396.33,867470b,71.62,139.63,2022-12-04 21:52:04
96,mysql,delete,0,10,100000,0,1412.68,867470b,70.79,141.27,2022-12-04 22:15:36
97,mysql,insert,0,50,100000,0,295.94,867470b,337.91,147.97,2022-12-04 22:20:35
98,mysql,update,0,50,100000,0,317.92,867470b,314.54,158.96,2022-12-04 22:25:53
99,mysql,delete,0,50,100000,0,321.1,867470b,311.43,160.55,2022-12-04 22:31:14
100,mysql,insert,0,100,100000,0,157.69,867470b,634.16,157.69,2022-12-04 22:33:55
101,mysql,update,0,100,100000,0,174.02,867470b,574.65,174.02,2022-12-04 22:36:49
102,mysql,delete,0,100,100000,0,175.88,867470b,568.57,175.88,2022-12-04 22:39:45
103,mysql,insert,0,500,100000,0,47.56,867470b,2102.61,237.8,2022-12-04 22:40:35
104,mysql,update,0,500,100000,0,52.01,867470b,1922.71,260.05,2022-12-04 22:41:27
105,mysql,delete,0,500,100000,0,60.75,867470b,1646.09,303.75,2022-12-04 22:42:28
106,mysql,insert,0,1000,100000,0,28.52,867470b,3506.31,285.2,2022-12-04 22:43:00
107,mysql,update,0,1000,100000,0,47.39,867470b,2110.15,473.9,2022-12-04 22:43:47
108,mysql,delete,0,1000,100000,0,50.28,867470b,1988.86,502.8,2022-12-04 22:44:37
109,mongodb,insert,1,1,100000,1000000,41.45,867470b,2412.55,0.41,2022-12-04 22:45:56
